,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0008.0-3937,-0.9640181,0.91351837,-0.40679747,-11.680104,-12.392283,0.73536736,2.715892,0.219093456864357,1.914081573486328,1.22025,bcu,0.6824512863268778,0.5127003263962737,0.0024344420796961453,0.005011560892538078,0.007427753828813081,0.0011991204489785487,0.004305748104264959,0.005035268197671906,0.2641080024752934,0.44411621832259585,0.03927276718505454,0.03193750574194185
4FGL J0008.4+6926,0.11988956,-0.48706898,0.8733635,-11.351322,-12.00456,0.83500296,2.2411752,0.057287722826004,0.9357820749282836,1.0440569,unas,0.6550341834019046,0.7488609502332221,0.03022453460741783,0.005622612355742582,0.005781934502852494,0.0032935781940413886,0.15968924915728047,0.0668205639535316,0.03715200072665459,0.04581574573452495,0.11211809760389022,0.12958654952893736
4FGL J0008.4-2339,-0.98385644,0.6392358,0.7690108,-11.6671,-12.380887,1.057665,0.85574543,0.1993669271469116,2.6448888778686523,1.0975814,bll,0.2893106523558407,0.15407486048362717,0.0049610116830561555,0.0012850447650292031,0.0,9.952891950423886e-05,0.0038957677206296563,0.0014322222734038787,0.06033182077604978,0.011557789075195635,0.6415007474644238,0.8315505544832398
4FGL J0008.4+1455,-0.7274938,-0.30443323,0.95253366,-11.363466,-12.261932,1.241504,1.8397909,0.1053333804011344,2.4028213024139404,1.7147954,bcu,0.18391149853558142,0.11740893426473696,0.001430395337011477,0.0007309581920940704,0.0,7.631096155375129e-05,0.0014520656479909452,0.0006678736984380924,0.06815879515884603,0.05372808727424122,0.7450472453205702,0.8273878356089358
4FGL J0008.9+2509,-0.5979692,-0.3569843,0.9341104,-11.6773405,-12.329494,0.57939875,3.1095061,0.1916704922914505,1.3551570177078247,1.2555735,unas,0.5568869868953926,0.5445736015500835,0.005848456936600179,0.0017435151328139059,0.0015609106186006542,0.0007078354162547403,0.0027615012615289035,0.003117383482835079,0.38878281545113436,0.4368255393954452,0.04415932883674337,0.013032125022567698
4FGL J0009.1-5012,-0.9102893,0.7592158,-0.65083903,-11.705537,-12.382532,0.9503575,2.2921882,0.1640565246343612,2.057619571685791,1.136814,unas,0.5720629690718513,0.5430918090071399,0.024467242664517407,0.01300429006044021,0.0015118657427655308,0.0015829218790783521,0.0037509856227181215,0.011452625012563451,0.16637443592946102,0.2519931607392676,0.23183250096868685,0.1788751933015105
4FGL J0009.1+0628,-0.81783146,-0.25005445,0.9682318,-11.23474,-12.313517,1.236094,2.074663,0.0471641756594181,1.3527389764785769,1.1748611,bll,0.1304601409108527,0.10275945077919243,0.0016744682598341133,0.0009564691383964648,1.721170395869191e-05,9.7408062857048e-05,0.00025793264634320487,0.0012127561554194262,0.016889088201613767,0.05087826179640015,0.8507011582773975,0.8440956540677345
4FGL J0009.2+6847,0.10861229,-0.48648688,0.87368786,-11.101646,-11.87424,1.059241,2.6417751,0.4263482093811035,5.754358291625977,1.1663888,unas,0.5402141250923561,0.4171802589198558,0.1490045816496694,0.10785256794879396,0.057038763484777995,0.13758343319284552,0.10954348450873928,0.2386872549903677,0.09869151230777161,0.06985329981386641,0.04550753295668551,0.02884318513427077
4FGL J0009.2+1745,-0.6942204,-0.3240705,0.94603294,-11.813185,-12.380919,0.83434767,2.2138689,0.4044544696807861,2.7511467933654785,1.1302414,unas,0.6225680115615891,0.6200632043408904,0.053100719541876076,0.0311004537310522,0.0013798949933559903,0.002205023824802139,0.01762793938075393,0.010032870510951601,0.1565473549532585,0.2218835116356648,0.14877607956916636,0.11471493595663887
4FGL J0009.3+5030,-0.20455734,-0.44032097,0.89784044,-10.639759,-12.037007,1.7910007,1.8391688,0.0695276111364364,5.271940231323242,2.3111928,bll,0.00803620475378271,0.011918372865317358,0.0,0.00043995016582633133,0.0,4.2618814261667665e-05,5.35610923020124e-05,0.0009464693520684592,0.10342468605683398,0.024425303897683267,0.8884855480970812,0.9622272849048429
4FGL J0009.7-1418,-0.96083736,0.1096343,0.993972,-11.534702,-12.438172,0.9634354,2.4800673,0.0854187682271003,1.3233710527420044,1.1419446,unas,0.3825282275912874,0.2986814469054197,0.0005221602629801327,0.004048671221577372,8.767981291281112e-05,0.0003593805164132864,0.0022506225494189577,0.002628421563276166,0.3233732646179125,0.4150088699807477,0.29123804516548807,0.27927320981256576
